time,L2_distance_analytic_temp_to_field,L2_norm_temp_analytical,heat_source,max_heat_source,max_tally_rel_err,ratio_diff_to_analytical_norm
0,0,0,0,0,0,0
1,418.05480871907,3430.7814329002,1602,15.810071439113,0.0099960868050006,0.12185410726257
2,5.860949258679,3430.7814329002,1602,15.815934021082,0.0099282993040127,0.0017083423626099
3,5.8475973289307,3430.7814329002,1602,15.779498208693,0.0099388452996701,0.0017044505583637
4,5.8339155913012,3430.7814329002,1602,15.727824590429,0.0099208437710128,0.0017004626221174
