id,temp_error,x,y,z
0,0.016400074394653,-52.1703,0,0
1,0.009588012243853,-50.0409,0,0
2,-0.0035521208827731,-47.9115,0,0
3,-0.022334005560367,-45.7821,0,0
4,-0.045921464221749,-43.6527,0,0
5,-0.073317588569353,-41.5233,0,0
6,-0.10368994791207,-39.3939,0,0
7,-0.13629375057201,-37.2645,0,0
8,-0.17037015883409,-35.1351,0,0
9,-0.20540181123562,-33.0057,0,0
10,-0.24079462764166,-30.8763,0,0
11,-0.27583530407577,-28.7469,0,0
12,-0.30978593399811,-26.6175,0,0
13,-0.34227420408473,-24.4881,0,0
14,-0.37348392063262,-22.3587,0,0
15,-0.4034607014529,-20.2293,0,0
16,-0.4316595646963,-18.0999,0,0
17,-0.45722437606895,-15.9705,0,0
18,-0.47973064777392,-13.8411,0,0
19,-0.49941662790013,-11.7117,0,0
20,-0.5165747272759,-9.5823,0,0
21,-0.53111901734343,-7.4529,0,0
22,-0.54270424746852,-5.3235,0,0
23,-0.55073324083094,-3.1941,0,0
24,-0.55468632763359,-1.0647,0,0
25,-0.55481033986177,1.0647,0,0
26,-0.55143340005145,3.1941,0,0
27,-0.54455301743826,5.3235,0,0
28,-0.53425022843345,7.4529,0,0
29,-0.52070535695725,9.5823,0,0
30,-0.5039266526984,11.7117,0,0
31,-0.48385570740652,13.8411,0,0
32,-0.46123315940599,15.9705,0,0
33,-0.43648152276194,18.0999,0,0
34,-0.4091548474662,20.2293,0,0
35,-0.37950180451247,22.3587,0,0
36,-0.34795630136722,24.4881,0,0
37,-0.3145556063086,26.6175,0,0
38,-0.27977549258998,28.7469,0,0
39,-0.24427600981136,30.8763,0,0
40,-0.20859439646387,33.0057,0,0
41,-0.17330706771219,35.1351,0,0
42,-0.13898768049665,37.2645,0,0
43,-0.10622933759527,39.3939,0,0
44,-0.075633766637395,41.5233,0,0
45,-0.048129784147932,43.6527,0,0
46,-0.02484665002703,45.7821,0,0
47,-0.0066130746965314,47.9115,0,0
48,0.0062124028016228,50.0409,0,0
49,0.013303768942535,52.1703,0,0
