time,L2_distance_analytic_temp_to_field,L2_norm_temp_analytical,heat_source,max_heat_source,max_tally_rel_err,ratio_diff_to_analytical_norm
0,0,0,0,0,0,0
1,418.05481102061,3430.7814329002,1602,15.747087340674,0.0099393313697565,0.12185410793342
2,4.3624711971592,3430.7814329002,1602,15.723498674795,0.0099695899107584,0.0012715677994886
3,4.3882868598593,3430.7814329002,1602,15.693257625677,0.0099809372783452,0.0012790925174588
4,4.4105932461129,3430.7814329002,1602,15.668482423867,0.0099427993267503,0.001285594355798
