flux,id,x,y,z
2.2674120139887e+14,0,-52.70265,0,0
2.2771916655666e+14,1,-51.63795,0,0
2.2867131108722e+14,2,-50.57325,0,0
2.2960357842206e+14,3,-49.50855,0,0
2.3050770379096e+14,4,-48.44385,0,0
2.313853807339e+14,5,-47.37915,0,0
2.322443439005e+14,6,-46.31445,0,0
2.330818826441e+14,7,-45.24975,0,0
2.3389111246243e+14,8,-44.18505,0,0
2.3468063776479e+14,9,-43.12035,0,0
2.3544609995593e+14,10,-42.05565,0,0
2.361964858922e+14,11,-40.99095,0,0
2.3692128697169e+14,12,-39.92625,0,0
2.3762430205117e+14,13,-38.86155,0,0
2.3830812882085e+14,14,-37.79685,0,0
2.389697612653e+14,15,-36.73215,0,0
2.3961396253307e+14,16,-35.66745,0,0
2.4023719107916e+14,17,-34.60275,0,0
2.4083829637618e+14,18,-33.53805,0,0
2.4141868262656e+14,19,-32.47335,0,0
2.419767106654e+14,20,-31.40865,0,0
2.4252108532302e+14,21,-30.34395,0,0
2.4304651961739e+14,22,-29.27925,0,0
2.4355076750521e+14,23,-28.21455,0,0
2.4403318279008e+14,24,-27.14985,0,0
2.4449448219527e+14,25,-26.08515,0,0
2.4493842632372e+14,26,-25.02045,0,0
2.4536496038212e+14,27,-23.95575,0,0
2.4577495131117e+14,28,-22.89105,0,0
2.4616457815466e+14,29,-21.82635,0,0
2.4653160077346e+14,30,-20.76165,0,0
2.4687762509519e+14,31,-19.69695,0,0
2.4720570605136e+14,32,-18.63225,0,0
2.4751524822981e+14,33,-17.56755,0,0
2.4780907711765e+14,34,-16.50285,0,0
2.4808092298573e+14,35,-15.43815,0,0
2.4833607493154e+14,36,-14.37345,0,0
2.48571779247e+14,37,-13.30875,0,0
2.487926521724e+14,38,-12.24405,0,0
2.4899283092989e+14,39,-11.17935,0,0
2.4917523395481e+14,40,-10.11465,0,0
2.4933558391658e+14,41,-9.04995,0,0
2.4947823677326e+14,42,-7.98525,0,0
2.4960589750061e+14,43,-6.92055,0,0
2.4971323346857e+14,44,-5.85585,0,0
2.498046722554e+14,45,-4.79115,0,0
2.4987625530507e+14,46,-3.72645,0,0
2.4993395593291e+14,47,-2.66175,0,0
2.4996671209996e+14,48,-1.59705,0,0
2.4998314986908e+14,49,-0.53235,0,0
2.499822292975e+14,50,0.53235,0,0
2.499642555104e+14,51,1.59705,0,0
2.4992856800519e+14,52,2.66175,0,0
2.4987271048178e+14,53,3.72645,0,0
2.4979704798412e+14,54,4.79115,0,0
2.4970412641558e+14,55,5.85585,0,0
2.4959545793294e+14,56,6.92055,0,0
2.4946655980541e+14,57,7.98525,0,0
2.4932011104796e+14,58,9.04995,0,0
2.4915477867718e+14,59,10.11465,0,0
2.4897058970653e+14,60,11.17935,0,0
2.4876765072098e+14,61,12.24405,0,0
2.4854918400334e+14,62,13.30875,0,0
2.4831194396839e+14,63,14.37345,0,0
2.4805791006162e+14,64,15.43815,0,0
2.477823568852e+14,65,16.50285,0,0
2.4748887578172e+14,66,17.56755,0,0
2.4717735493406e+14,67,18.63225,0,0
2.4685079453288e+14,68,19.69695,0,0
2.4650234167419e+14,69,20.76165,0,0
2.461336290433e+14,70,21.82635,0,0
2.4574638808028e+14,71,22.89105,0,0
2.4534158930351e+14,72,23.95575,0,0
2.4491601079465e+14,73,25.02045,0,0
2.4447682758283e+14,74,26.08515,0,0
2.4401513760431e+14,75,27.14985,0,0
2.4353484022814e+14,76,28.21455,0,0
2.4303147781475e+14,77,29.27925,0,0
2.4250405786554e+14,78,30.34395,0,0
2.4196188275781e+14,79,31.40865,0,0
2.4140297553595e+14,80,32.47335,0,0
2.4082138974209e+14,81,33.53805,0,0
2.4021723838877e+14,82,34.60275,0,0
2.3959263925265e+14,83,35.66745,0,0
2.3894950343115e+14,84,36.73215,0,0
2.3828431173616e+14,85,37.79685,0,0
2.376011068116e+14,86,38.86155,0,0
2.3689118140415e+14,87,39.92625,0,0
2.3616121949725e+14,88,40.99095,0,0
2.3541429527547e+14,89,42.05565,0,0
2.3464602745122e+14,90,43.12035,0,0
2.3385687316998e+14,91,44.18505,0,0
2.3304423203211e+14,92,45.24975,0,0
2.3220381990623e+14,93,46.31445,0,0
2.3134433672502e+14,94,47.37915,0,0
2.3046669768968e+14,95,48.44385,0,0
2.2956551926097e+14,96,49.50855,0,0
2.2863749198134e+14,97,50.57325,0,0
2.2768159832395e+14,98,51.63795,0,0
2.2670186116444e+14,99,52.70265,0,0
