flux,id,x,y,z
2.2632563061792e+14,0,-53.12853,0,0
2.2652716496989e+14,1,-52.91559,0,0
2.2672587081347e+14,2,-52.70265,0,0
2.2692317970527e+14,3,-52.48971,0,0
2.2711883667509e+14,4,-52.27677,0,0
2.2731405051599e+14,5,-52.06383,0,0
2.2750942124254e+14,6,-51.85089,0,0
2.2770091903329e+14,7,-51.63795,0,0
2.2789370996295e+14,8,-51.42501,0,0
2.280857486727e+14,9,-51.21207,0,0
2.2827606028871e+14,10,-50.99913,0,0
2.2846539045964e+14,11,-50.78619,0,0
2.2865298430121e+14,12,-50.57325,0,0
2.2883969464135e+14,13,-50.36031,0,0
2.290250871037e+14,14,-50.14737,0,0
2.2921037221934e+14,15,-49.93443,0,0
2.2939368135119e+14,16,-49.72149,0,0
2.2957717409408e+14,17,-49.50855,0,0
2.2975977481237e+14,18,-49.29561,0,0
2.2994227136081e+14,19,-49.08267,0,0
2.3012270617739e+14,20,-48.86973,0,0
2.3030210531307e+14,21,-48.65679,0,0
2.3048056844421e+14,22,-48.44385,0,0
2.3065919714287e+14,23,-48.23091,0,0
2.3083624569627e+14,24,-48.01797,0,0
2.3101213550996e+14,25,-47.80503,0,0
2.3118666428877e+14,26,-47.59209,0,0
2.3136095746381e+14,27,-47.37915,0,0
2.3153514546236e+14,28,-47.16621,0,0
2.3170578721321e+14,29,-46.95327,0,0
2.3187736540359e+14,30,-46.74033,0,0
2.3204815923161e+14,31,-46.52739,0,0
2.3221721612324e+14,32,-46.31445,0,0
2.3238567965604e+14,33,-46.10151,0,0
2.3255489537481e+14,34,-45.88857,0,0
2.3272403160375e+14,35,-45.67563,0,0
2.3288995092689e+14,36,-45.46269,0,0
2.3305573305797e+14,37,-45.24975,0,0
2.332201638381e+14,38,-45.03681,0,0
2.3338447484071e+14,39,-44.82387,0,0
2.3354659839724e+14,40,-44.61093,0,0
2.3370751826683e+14,41,-44.39799,0,0
2.3386839147213e+14,42,-44.18505,0,0
2.3402907159579e+14,43,-43.97211,0,0
2.3418710454078e+14,44,-43.75917,0,0
2.343444095692e+14,45,-43.54623,0,0
2.345000461171e+14,46,-43.33329,0,0
2.3465600361458e+14,47,-43.12035,0,0
2.3481216202735e+14,48,-42.90741,0,0
2.3496583736035e+14,49,-42.69447,0,0
2.3511913515593e+14,50,-42.48153,0,0
2.3527180636838e+14,51,-42.26859,0,0
2.3542331886998e+14,52,-42.05565,0,0
2.3557445746048e+14,53,-41.84271,0,0
2.3572660772618e+14,54,-41.62977,0,0
2.3587468676489e+14,55,-41.41683,0,0
2.3602362116171e+14,56,-41.20389,0,0
2.3617133002929e+14,57,-40.99095,0,0
2.3631713109516e+14,58,-40.77801,0,0
2.3646372285982e+14,59,-40.56507,0,0
2.3660983859016e+14,60,-40.35213,0,0
2.3675624283213e+14,61,-40.13919,0,0
2.3689897204696e+14,62,-39.92625,0,0
2.3704133847199e+14,63,-39.71331,0,0
2.3718288247253e+14,64,-39.50037,0,0
2.3732482101571e+14,65,-39.28743,0,0
2.3746479982292e+14,66,-39.07449,0,0
2.3760473028515e+14,67,-38.86155,0,0
2.3774354224945e+14,68,-38.64861,0,0
2.3788057623419e+14,69,-38.43567,0,0
2.3801778520356e+14,70,-38.22273,0,0
2.3815267414683e+14,71,-38.00979,0,0
2.3828641295609e+14,72,-37.79685,0,0
2.3842092625503e+14,73,-37.58391,0,0
2.3855517370218e+14,74,-37.37097,0,0
2.3868887833869e+14,75,-37.15803,0,0
2.3882000049452e+14,76,-36.94509,0,0
2.3895123301742e+14,77,-36.73215,0,0
2.3908119628178e+14,78,-36.51921,0,0
2.3920975877135e+14,79,-36.30627,0,0
2.3933722858404e+14,80,-36.09333,0,0
2.3946606390401e+14,81,-35.88039,0,0
2.3959341577197e+14,82,-35.66745,0,0
2.3972099456253e+14,83,-35.45451,0,0
2.3984587828179e+14,84,-35.24157,0,0
2.3996933130902e+14,85,-35.02863,0,0
2.400914166308e+14,86,-34.81569,0,0
2.4021583173039e+14,87,-34.60275,0,0
2.4033762830674e+14,88,-34.38981,0,0
2.4045881996065e+14,89,-34.17687,0,0
2.4057859987142e+14,90,-33.96393,0,0
2.4069752428108e+14,91,-33.75099,0,0
2.4081690964005e+14,92,-33.53805,0,0
2.4093559842211e+14,93,-33.32511,0,0
2.4105424969787e+14,94,-33.11217,0,0
2.4116973946526e+14,95,-32.89923,0,0
2.4128518073285e+14,96,-32.68629,0,0
2.4140131418739e+14,97,-32.47335,0,0
2.4151662560177e+14,98,-32.26041,0,0
2.4163033993886e+14,99,-32.04747,0,0
2.4174145877533e+14,100,-31.83453,0,0
2.4185407382612e+14,101,-31.62159,0,0
2.4196553369485e+14,102,-31.40865,0,0
2.4207568980473e+14,103,-31.19571,0,0
2.4218343464804e+14,104,-30.98277,0,0
2.4229220226795e+14,105,-30.76983,0,0
2.4239871108902e+14,106,-30.55689,0,0
2.4250593040218e+14,107,-30.34395,0,0
2.4261151357948e+14,108,-30.13101,0,0
2.4271570992445e+14,109,-29.91807,0,0
2.428202467975e+14,110,-29.70513,0,0
2.4292423818459e+14,111,-29.49219,0,0
2.4302760876257e+14,112,-29.27925,0,0
2.4312797254562e+14,113,-29.06631,0,0
2.4322768948381e+14,114,-28.85337,0,0
2.4332793509131e+14,115,-28.64043,0,0
2.4342825234869e+14,116,-28.42749,0,0
2.4352713114425e+14,117,-28.21455,0,0
2.4362457676349e+14,118,-28.00161,0,0
2.4372176582777e+14,119,-27.78867,0,0
2.4381677726696e+14,120,-27.57573,0,0
2.4391041987038e+14,121,-27.36279,0,0
2.4400498871428e+14,122,-27.14985,0,0
2.441003425478e+14,123,-26.93691,0,0
2.4419424409997e+14,124,-26.72397,0,0
2.4428613714684e+14,125,-26.51103,0,0
2.4437766581721e+14,126,-26.29809,0,0
2.4446939001575e+14,127,-26.08515,0,0
2.4456012767514e+14,128,-25.87221,0,0
2.4464980374548e+14,129,-25.65927,0,0
2.4473901282945e+14,130,-25.44633,0,0
2.4482844933915e+14,131,-25.23339,0,0
2.4491543906226e+14,132,-25.02045,0,0
2.4500195378681e+14,133,-24.80751,0,0
2.4508756630679e+14,134,-24.59457,0,0
2.4517159643494e+14,135,-24.38163,0,0
2.4525628571461e+14,136,-24.16869,0,0
2.4533996384365e+14,137,-23.95575,0,0
2.4542202198459e+14,138,-23.74281,0,0
2.4550355961559e+14,139,-23.52987,0,0
2.4558556034915e+14,140,-23.31693,0,0
2.4566591021888e+14,141,-23.10399,0,0
2.4574455137659e+14,142,-22.89105,0,0
2.4582164266744e+14,143,-22.67811,0,0
2.4589958617731e+14,144,-22.46517,0,0
2.4597723449927e+14,145,-22.25223,0,0
2.4605283034001e+14,146,-22.03929,0,0
2.4612959832861e+14,147,-21.82635,0,0
2.4620469096814e+14,148,-21.61341,0,0
2.4627878512211e+14,149,-21.40047,0,0
2.4635351850028e+14,150,-21.18753,0,0
2.4642633905392e+14,151,-20.97459,0,0
2.4649806790159e+14,152,-20.76165,0,0
2.4656873226206e+14,153,-20.54871,0,0
