id,temp_error,x,y,z
0,-0.00018396311065771,-53.181765,0,0
1,-0.0002060128367134,-53.075295,0,0
2,-0.00024919135080381,-52.968825,0,0
3,-0.00031295792285846,-52.862355,0,0
4,-0.00039589872960732,-52.755885,0,0
5,-0.00049789127962185,-52.649415,0,0
6,-0.00061930029306723,-52.542945,0,0
7,-0.0007589816628979,-52.436475,0,0
8,-0.00091656801265572,-52.330005,0,0
9,-0.0010928258956824,-52.223535,0,0
10,-0.0012868935383494,-52.117065,0,0
11,-0.0014980474919639,-52.010595,0,0
12,-0.0017272720101005,-51.904125,0,0
13,-0.0019760537398952,-51.797655,0,0
14,-0.0022446264765108,-51.691185,0,0
15,-0.0025315880545804,-51.584715,0,0
16,-0.0028356071275084,-51.478245,0,0
17,-0.0031558363681938,-51.371775,0,0
18,-0.003492286701487,-51.265305,0,0
19,-0.0038449460877246,-51.158835,0,0
20,-0.0042135759358075,-51.052365,0,0
21,-0.0045986076195277,-50.945895,0,0
22,-0.0050002338697936,-50.839425,0,0
23,-0.0054181431234497,-50.732955,0,0
24,-0.0058522786396793,-50.626485,0,0
25,-0.0063036618195724,-50.520015,0,0
26,-0.0067728211589611,-50.413545,0,0
27,-0.0072584547072552,-50.307075,0,0
28,-0.0077603012855434,-50.200605,0,0
29,-0.0082789489927109,-50.094135,0,0
30,-0.0088134465867711,-49.987665,0,0
31,-0.0093638581618052,-49.881195,0,0
32,-0.0099309452434682,-49.774725,0,0
33,-0.010514182707027,-49.668255,0,0
34,-0.011112593779615,-49.561785,0,0
35,-0.011725311027988,-49.455315,0,0
36,-0.012352569668394,-49.348845,0,0
37,-0.012994785172793,-49.242375,0,0
38,-0.013651552982481,-49.135905,0,0
39,-0.01432257693375,-49.029435,0,0
40,-0.015007425685155,-48.922965,0,0
41,-0.015706009878329,-48.816495,0,0
42,-0.016419336872787,-48.710025,0,0
43,-0.017148078593777,-48.603555,0,0
44,-0.017891985573954,-48.497085,0,0
45,-0.018651242933458,-48.390615,0,0
46,-0.019425809494521,-48.284145,0,0
47,-0.020214500822703,-48.177675,0,0
48,-0.021016533029979,-48.071205,0,0
49,-0.021831820791647,-47.964735,0,0
50,-0.022660693789135,-47.858265,0,0
51,-0.023503425456454,-47.751795,0,0
52,-0.024359741541787,-47.645325,0,0
53,-0.025228635152303,-47.538855,0,0
54,-0.026109391538171,-47.432385,0,0
55,-0.027002671793639,-47.325915,0,0
56,-0.027909559341595,-47.219445,0,0
57,-0.028830782920352,-47.112975,0,0
58,-0.029765397781716,-47.006505,0,0
59,-0.030711928276276,-46.900035,0,0
60,-0.03167012681098,-46.793565,0,0
61,-0.032640987902425,-46.687095,0,0
62,-0.033625330874486,-46.580625,0,0
63,-0.034622269330782,-46.474155,0,0
64,-0.035630737405654,-46.367685,0,0
65,-0.036650259461794,-46.261215,0,0
66,-0.037680909466474,-46.154745,0,0
67,-0.038723386686854,-46.048275,0,0
68,-0.039777574929644,-45.941805,0,0
69,-0.040843184238838,-45.835335,0,0
70,-0.041921354606643,-45.728865,0,0
71,-0.043011791485924,-45.622395,0,0
72,-0.044112794955765,-45.515925,0,0
73,-0.045224238710546,-45.409455,0,0
74,-0.046346585897766,-45.302985,0,0
75,-0.047480296574861,-45.196515,0,0
76,-0.048626430351931,-45.090045,0,0
77,-0.049785641854328,-44.983575,0,0
78,-0.05095728163667,-44.877105,0,0
79,-0.052140671003258,-44.770635,0,0
80,-0.053335418324991,-44.664165,0,0
81,-0.054540386175404,-44.557695,0,0
82,-0.055754915142131,-44.451225,0,0
83,-0.056979643080354,-44.344755,0,0
84,-0.058214859786233,-44.238285,0,0
85,-0.059460003272136,-44.131815,0,0
86,-0.060714654951425,-44.025345,0,0
87,-0.061978601658097,-43.918875,0,0
88,-0.063251899360012,-43.812405,0,0
89,-0.064534661502137,-43.705935,0,0
90,-0.065826627018282,-43.599465,0,0
91,-0.067128157368188,-43.492995,0,0
92,-0.068439297013072,-43.386525,0,0
93,-0.069759438381027,-43.280055,0,0
94,-0.071088770788094,-43.173585,0,0
95,-0.072427302450024,-43.067115,0,0
96,-0.073774676997402,-42.960645,0,0
97,-0.075130790648871,-42.854175,0,0
98,-0.076496334563558,-42.747705,0,0
99,-0.077871612420608,-42.641235,0,0
100,-0.079255350212634,-42.534765,0,0
101,-0.08064763222518,-42.428295,0,0
102,-0.082049364352883,-42.321825,0,0
103,-0.083459146298651,-42.215355,0,0
104,-0.084875121992923,-42.108885,0,0
105,-0.086297300399337,-42.002415,0,0
106,-0.087726145451825,-41.895945,0,0
107,-0.08916092607376,-41.789475,0,0
108,-0.090601587701258,-41.683005,0,0
109,-0.092048947968181,-41.576535,0,0
110,-0.093502906142589,-41.470065,0,0
111,-0.094963484733739,-41.363595,0,0
112,-0.096430779476862,-41.257125,0,0
113,-0.097904532585176,-41.150655,0,0
114,-0.099384974176303,-41.044185,0,0
115,-0.10087219984746,-40.937715,0,0
116,-0.10236515059898,-40.831245,0,0
