time,L2_distance_analytic_temp_to_field,L2_norm_temp_analytical,heat_source,max_heat_source,max_tally_rel_err,ratio_diff_to_analytical_norm
0,0,0,0,0,0,0
1,1777.5190792195,1246.6733759757,1602,16.014299407739,0.012027718223274,1.425809769803
2,2187.3658771493,1246.6733759757,1602,15.796202883229,0.012034544398777,1.7545621165105
3,2187.3204959787,1246.6733759757,1602,15.774494434504,0.011930883663456,1.754525714698
4,2187.3568653583,1246.6733759757,1602,15.779775264919,0.01192175875877,1.7545548878401
5,2187.3371071841,1246.6733759757,1602,15.741738476888,0.011530437074799,1.7545390391225
