id,temp_error,x,y,z
0,0.015247661780847,-52.1703,0,0
1,0.0069925388417573,-50.0409,0,0
2,-0.0080693230034967,-47.9115,0,0
3,-0.028770047266562,-45.7821,0,0
4,-0.054092613015371,-43.6527,0,0
5,-0.082879411950671,-41.5233,0,0
6,-0.11416371783241,-39.3939,0,0
7,-0.14715926423975,-37.2645,0,0
8,-0.18128384386034,-35.1351,0,0
9,-0.21590999040285,-33.0057,0,0
10,-0.25048638387676,-30.8763,0,0
11,-0.28479492777308,-28.7469,0,0
12,-0.31848899298348,-26.6175,0,0
13,-0.35154984813886,-24.4881,0,0
14,-0.38382104145569,-22.3587,0,0
15,-0.41429553935399,-20.2293,0,0
16,-0.44224751799413,-18.0999,0,0
17,-0.46790509054046,-15.9705,0,0
18,-0.49130332334283,-13.8411,0,0
19,-0.51191860553229,-11.7117,0,0
20,-0.52948713950389,-9.5823,0,0
21,-0.54394246960845,-7.4529,0,0
22,-0.55520190176998,-5.3235,0,0
23,-0.56294043024678,-3.1941,0,0
24,-0.56667483943306,-1.0647,0,0
25,-0.56653489138637,1.0647,0,0
26,-0.56279091380242,3.1941,0,0
27,-0.55524218829311,5.3235,0,0
28,-0.54387455492048,7.4529,0,0
29,-0.5291248064151,9.5823,0,0
30,-0.51142123447033,11.7117,0,0
31,-0.49074765074965,13.8411,0,0
32,-0.46722413757152,15.9705,0,0
33,-0.44127367364729,18.0999,0,0
34,-0.41313337555698,20.2293,0,0
35,-0.38322278252554,22.3587,0,0
36,-0.35174293095014,24.4881,0,0
37,-0.3187122621847,26.6175,0,0
38,-0.28453435736736,28.7469,0,0
39,-0.24936845462292,30.8763,0,0
40,-0.21375361966676,33.0057,0,0
41,-0.17897119308196,35.1351,0,0
42,-0.14533917835229,37.2645,0,0
43,-0.11256551570972,39.3939,0,0
44,-0.081301977948897,41.5233,0,0
45,-0.052712233608077,43.6527,0,0
46,-0.027906922319517,45.7821,0,0
47,-0.0078254355545937,47.9115,0,0
48,0.0064707607877494,50.0409,0,0
49,0.014002254004083,52.1703,0,0
